epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2053.54,1.1307,1.02545,1.11176,0.49343,0.2558,0.31009,0.15646,2.02765,2.13684,1.72455,0.000396262,0.000396262,0.000396262
75,2079.59,1.06166,0.92835,1.05953,0.49343,0.2558,0.31009,0.15646,2.02765,2.13684,1.72455,0.000382115,0.000382115,0.000382115
76,2106.07,1.03511,0.90989,1.06905,0.31723,0.29151,0.29424,0.14601,2.03254,2.12425,1.70923,0.000367967,0.000367967,0.000367967
77,2131.7,1.00298,0.90183,1.04749,0.31723,0.29151,0.29424,0.14601,2.03254,2.12425,1.70923,0.00035382,0.00035382,0.00035382
78,2158.3,1.07775,0.93023,1.05405,0.27225,0.37668,0.27333,0.12693,2.0157,2.10514,1.70309,0.000339673,0.000339673,0.000339673
79,2183.55,1.02667,0.94462,1.0808,0.27225,0.37668,0.27333,0.12693,2.0157,2.10514,1.70309,0.000325526,0.000325526,0.000325526
80,2209.8,1.0403,0.91975,1.05771,0.22632,0.40522,0.26032,0.13129,1.99337,2.10308,1.6903,0.000311379,0.000311379,0.000311379
81,2235.44,1.05955,0.88719,1.06025,0.22632,0.40522,0.26032,0.13129,1.99337,2.10308,1.6903,0.000297232,0.000297232,0.000297232
82,2261.53,1.00291,0.8921,1.015,0.23322,0.37282,0.26271,0.13652,1.956,2.07114,1.6786,0.000283085,0.000283085,0.000283085
83,2287.48,1.09016,0.88811,1.07645,0.23322,0.37282,0.26271,0.13652,1.956,2.07114,1.6786,0.000268938,0.000268938,0.000268938
84,2314.32,1.02797,0.86455,1.02904,0.2702,0.36058,0.28533,0.13826,1.94896,2.05217,1.685,0.000254791,0.000254791,0.000254791
85,2340.83,1.11369,0.91707,1.07259,0.2702,0.36058,0.28533,0.13826,1.94896,2.05217,1.685,0.000240644,0.000240644,0.000240644
86,2366.72,1.03719,0.9492,1.05986,0.3865,0.26252,0.29647,0.13857,1.96835,2.06815,1.7086,0.000226497,0.000226497,0.000226497
87,2392.12,0.99435,0.8391,1.03932,0.3865,0.26252,0.29647,0.13857,1.96835,2.06815,1.7086,0.000212349,0.000212349,0.000212349
88,2417.73,0.94763,0.84718,1.0075,0.2907,0.31013,0.28368,0.13752,1.96666,2.04744,1.72174,0.000198202,0.000198202,0.000198202
89,2443.16,1.06829,0.9261,1.09922,0.2907,0.31013,0.28368,0.13752,1.96666,2.04744,1.72174,0.000184055,0.000184055,0.000184055
90,2468.7,0.99274,0.82555,1.02243,0.32547,0.26755,0.26617,0.13403,1.9475,2.03974,1.71638,0.000169908,0.000169908,0.000169908
91,2496.61,1.02778,1.1035,1.07236,0.32547,0.26755,0.26617,0.13403,1.9475,2.03974,1.71638,0.000155761,0.000155761,0.000155761
92,2521.69,1.06096,1.20592,1.05594,0.33354,0.26664,0.2646,0.13472,1.97394,2.03996,1.74413,0.000141614,0.000141614,0.000141614
93,2546.72,1.001,1.05788,1.0351,0.33354,0.26664,0.2646,0.13472,1.97394,2.03996,1.74413,0.000127467,0.000127467,0.000127467
94,2571.7,1.07125,1.173,1.04868,0.27129,0.31227,0.25891,0.12957,1.99185,2.05217,1.75891,0.00011332,0.00011332,0.00011332
95,2597.04,0.97208,0.94412,1.01815,0.27129,0.31227,0.25891,0.12957,1.99185,2.05217,1.75891,9.91726e-05,9.91726e-05,9.91726e-05
96,2622.34,0.924,0.95632,0.98459,0.30024,0.29136,0.28102,0.13151,1.98399,2.07017,1.7507,8.50255e-05,8.50255e-05,8.50255e-05
97,2646.77,0.9946,0.97442,1.02363,0.30024,0.29136,0.28102,0.13151,1.98399,2.07017,1.7507,7.08784e-05,7.08784e-05,7.08784e-05
98,2671.83,0.96157,0.96282,1.03445,0.29092,0.30418,0.25906,0.12877,1.96723,2.08026,1.74037,5.67313e-05,5.67313e-05,5.67313e-05
99,2696.99,0.96127,0.92173,1.03359,0.29092,0.30418,0.25906,0.12877,1.96723,2.08026,1.74037,4.25842e-05,4.25842e-05,4.25842e-05
100,2722.37,1.0012,1.10391,1.02827,0.31118,0.27854,0.25311,0.12899,1.97071,2.06667,1.73678,2.84371e-05,2.84371e-05,2.84371e-05
