epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2251.74,1.96547,2.26438,1.85485,0.27706,0.30365,0.20115,0.08832,2.2086,2.5829,2.16615,0.000226497,0.000226497,0.000226497
87,2278.2,1.97381,2.29604,1.8894,0.28263,0.2773,0.20324,0.09106,2.20305,2.57799,2.17131,0.000212349,0.000212349,0.000212349
88,2309.03,1.979,2.26854,1.87048,0.2698,0.30444,0.19591,0.09003,2.1629,2.6201,2.12942,0.000198202,0.000198202,0.000198202
89,2341.01,1.97797,2.26388,1.88098,0.27686,0.30431,0.21341,0.0967,2.14187,2.60299,2.11131,0.000184055,0.000184055,0.000184055
90,2372.47,1.97413,2.28174,1.88148,0.28088,0.26998,0.19841,0.09243,2.18757,2.62476,2.12202,0.000169908,0.000169908,0.000169908
91,2404.67,2.03319,2.374,1.96898,0.30042,0.31303,0.22214,0.10276,2.13666,2.55951,2.11048,0.000155761,0.000155761,0.000155761
92,2437.67,2.02056,2.33687,1.96894,0.27734,0.28658,0.20761,0.09589,2.12284,2.53592,2.1246,0.000141614,0.000141614,0.000141614
93,2461.95,1.97679,2.30008,1.9584,0.29589,0.29145,0.21723,0.10128,2.16162,2.59862,2.15176,0.000127467,0.000127467,0.000127467
94,2487.11,1.96467,2.28731,1.92217,0.36686,0.26088,0.21799,0.09985,2.14572,2.52933,2.14393,0.00011332,0.00011332,0.00011332
95,2512.65,1.97831,2.28006,1.94076,0.30306,0.28404,0.20325,0.09564,2.1478,2.64137,2.13263,9.91726e-05,9.91726e-05,9.91726e-05
96,2537.99,1.9773,2.26031,1.94756,0.36029,0.29602,0.2354,0.11021,2.14642,2.50409,2.14029,8.50255e-05,8.50255e-05,8.50255e-05
97,2563.44,1.97665,2.26036,1.94931,0.32195,0.30694,0.22115,0.10391,2.1468,2.59731,2.12797,7.08784e-05,7.08784e-05,7.08784e-05
98,2587.57,1.95773,2.25217,1.93313,0.32619,0.32569,0.22808,0.10833,2.13267,2.53199,2.13038,5.67313e-05,5.67313e-05,5.67313e-05
99,2614.23,1.96996,2.21038,1.91143,0.30567,0.31155,0.22458,0.10481,2.1444,2.5149,2.14352,4.25842e-05,4.25842e-05,4.25842e-05
100,2640.37,1.97854,2.21704,1.93589,0.33199,0.29813,0.22724,0.10411,2.14562,2.52435,2.14204,2.84371e-05,2.84371e-05,2.84371e-05
