imagem_1,imagem_2,algoritmo,similaridade_%,classificacao,resultado_path
PAP-0030 Cad.jpg,PAP-0005 Cad.jpg,YOLO,10.0,Verdadeiro Negativo (TN),"person, parking meter","person, bench, fire hydrant, bench",resultado_PAP-0030 Cad.jpg_PAP-0005 Cad.jpg.jpg
PAP-0031 Cad.jpg,PAP-0005 Cad.jpg,YOLO,60.0,Verdadeiro Negativo (TN),stop sign,"person, bench, fire hydrant, bench",resultado_PAP-0031 Cad.jpg_PAP-0005 Cad.jpg.jpg
PAP-0072 Cad.jpg,PAP-0005 Cad.jpg,YOLO,0.0,Verdadeiro Negativo (TN),"parking meter, car, car, car, car, car, car, car, car, motorcycle, car, car, car","person, bench, fire hydrant, bench",resultado_PAP-0072 Cad.jpg_PAP-0005 Cad.jpg.jpg
PAP-0072 Cad.jpg,PAP-0005 Cad.jpg,YOLO,0.0,Verdadeiro Negativo (TN),"parking meter, car, car, car, car, car, car, car, car, motorcycle, car, car, car","person, bench, fire hydrant, bench",resultado_PAP-0072 Cad.jpg_PAP-0005 Cad.jpg.jpg
PAP-0072 Cad.jpg,PAP-0080 Op.jpg,YOLO,10.0,Verdadeiro Negativo (TN),"parking meter, car, car, car, car, car, car, car, car, motorcycle, car, car, car","person, parking meter",resultado_PAP-0072 Cad.jpg_PAP-0080 Op.jpg.jpg
PAP-0072 Cad.jpg,PAP-0166 Cad.jpg,YOLO,13.33,Verdadeiro Negativo (TN),"parking meter, car, car, car, car, car, car, car, car, motorcycle, car, car, car","car, car, car, car, car, car, car, car, car, car, car, car",resultado_PAP-0072 Cad.jpg_PAP-0166 Cad.jpg.jpg
PAP-0072 Cad.jpg,PAP-0026 Cad.jpg,YOLO,10.0,Verdadeiro Negativo (TN),"parking meter, car, car, car, car, car, car, car, car, motorcycle, car, car, car","car, fire hydrant",resultado_PAP-0072 Cad.jpg_PAP-0026 Cad.jpg.jpg
PAP-0030 Cad.jpg,PAP-0026 Cad.jpg,YOLO,0.0,Verdadeiro Negativo (TN),"person, parking meter","car, fire hydrant",resultado_PAP-0030 Cad.jpg_PAP-0026 Cad.jpg.jpg
PAP-0030 Cad.jpg,PAP-0005 Op.jpg,YOLO,86.67,Verdadeiro Positivo (TP),"person, parking meter","person, parking meter, person, person, person, person, person, person, parking meter, person, person, motorcycle, person, motorcycle, person, person",resultado_PAP-0030 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0030 Op.jpg,PAP-0166 Op.jpg,YOLO,73.33,Verdadeiro Positivo (TP),"car, car, person, person, person","car, car, car, car, car, car, car, car, car, car, car, car, parking meter, car",resultado_PAP-0030 Op.jpg_PAP-0166 Op.jpg.jpg
PAP-5156 Op.jpg,PAP-01086 Op.jpg,YOLO,13.33,Verdadeiro Negativo (TN),"parking meter, truck","car, parking meter",resultado_PAP-5156 Op.jpg_PAP-01086 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0026 Op.jpg,YOLO,6.67,Verdadeiro Negativo (TN),"person, bench, fire hydrant, bench","person, parking meter, person, parking meter, car, umbrella, person",resultado_PAP-0005 Cad.jpg_PAP-0026 Op.jpg.jpg
PAP-0166 Cad.jpg,PAP-0072 Cad.jpg,YOLO,13.33,Verdadeiro Negativo (TN),"car, car, car, car, car, car, car, car, car, car, car, car","parking meter, car, car, car, car, car, car, car, car, motorcycle, car, car, car",resultado_PAP-0166 Cad.jpg_PAP-0072 Cad.jpg.jpg
PAP-0026 Cad.jpg,PAP-0072 Cad.jpg,YOLO,10.0,Verdadeiro Negativo (TN),"car, fire hydrant","parking meter, car, car, car, car, car, car, car, car, motorcycle, car, car, car",resultado_PAP-0026 Cad.jpg_PAP-0072 Cad.jpg.jpg
PAP-0030 Cad.jpg,PAP-0072 Cad.jpg,YOLO,10.0,Verdadeiro Negativo (TN),"person, parking meter","parking meter, car, car, car, car, car, car, car, car, motorcycle, car, car, car",resultado_PAP-0030 Cad.jpg_PAP-0072 Cad.jpg.jpg
PAP-0031 Cad.jpg,PAP-0072 Cad.jpg,YOLO,0.0,Verdadeiro Negativo (TN),stop sign,"parking meter, car, car, car, car, car, car, car, car, motorcycle, car, car, car",resultado_PAP-0031 Cad.jpg_PAP-0072 Cad.jpg.jpg
PAP-0080 Cad.jpg,PAP-01084 Cad.jpg,YOLO,100.0,Verdadeiro Positivo (TP),"car, parking meter, car, car, car","car, parking meter",resultado_PAP-0080 Cad.jpg_PAP-01084 Cad.jpg.jpg
